essay_id,TOP1,is_pc2
01ad79e,7B7838BB9DD5,0
01ae85f,C67BED973A39,1
01b55c8,544FF2EE0ACC,1
01b9b63,B193591E3477,1
01bb061,4C3F7CDF30EB,1
01bb07c,A2291A8A41F3,1
01bb2f3,1FBEFF768D88,1
01bd69c,E2F7AC32660E,0
01c1169,46F1DBF7F567,0
01c3e09,8820C3894B4A,0
01c46fa,2657B9F9CCDC,1
01c5073,7C7FF43FD926,1
01c5750,1387054A01CB,1
01c5e87,BCC1433ECAEB,0
01c8f7a,CD40D08B4CFA,1
01cbe3d,57624CC87025,1
01d0836,73E967510324,1
01d2df1,12ADC0818C83,1
01d6e7e,5203AF1AF353,1
01dabde,5D58F161CD12,1
01e0bb8,ECC6E0727926,1
01e64c4,BCEBA1D60DFD,0
01e78c7,857543B701E0,0
01ec06b,9A529A48D35F,1
01ec1a3,4434757F78FB,0
01f5682,D251CC495A0E,1
0200fbc,9FBF8FD4AC42,0
0210900,B9E26FE6A3D7,1
0211cb6,63587869CADC,1
021271e,7FCC9F27C202,1
0220c9f,83AECD471E27,1
0224c63,2DE70542C32D,1
0226250,838AA0C9A269,0
0226c11,DB2A6F2FB996,0
0227e67,3086486EEDFB,1
022a010,9FC785883184,1
022b620,711304CAC7B1,1
022d72e,68662FF88885,1
0232d34,C6ACC74915ED,1
0232fa2,5B4D05042A6B,1
0237cbd,56C208138AC9,1
023ab53,02F578DD1D0B,1
023c138,C4379D733479,1
024873e,C47EDC0F0709,1
024a3bb,21DB44529744,1
025d46f,7F220FD6CACF,1
0262618,F699067454F2,1
026355a,0E16BB8C40AE,1
0264158,A3F5E3171625,1
0269b85,4B7C7C0F1D30,1
0273b7b,62677D4BA27F,0
0279487,59A71CF8491A,1
027a1f9,256D9466D44C,0
0281195,61E75F6539D8,1
0286af8,E6B527B11E34,1
028d00e,9414ECAC7F18,0
0293f31,DCCF6739067A,0
0296469,4D174422E351,1
02a059f,A9EA3FE0941B,0
02a1298,FD0934F5261D,1
02a1c3a,BECA14914CFB,0
02a7530,9407DB8BEDB6,1
02a7cff,D64B4D78AE2A,1
02a9d14,9703B728E289,1
02ab5d2,CD17678005B9,0
02b6da9,688370E9E6F1,1
02c0440,B8D9250543E0,1
02c1ebd,369D3B8BCC65,1
02cbcbc,83D87EC814FC,1
02cd88d,A32414F5B216,1
02cfa15,89BA72AAF3E4,1
02d0224,4E2292FFFB43,1
02d1c60,7B63367C69B4,0
02d481d,EFE2D4E09A10,1
02d8dd2,7BFB52239293,1
02da02a,A964C0208F15,1
02dabc0,13E8A2F76C57,1
02ecf18,DA00E71FF6D3,1
02f131c,F32C86AD4C64,1
02f14c6,F36E0B012BEB,0
02f6c8a,31991AEB28DF,1
0302537,4237C276C527,1
0305a15,DE0275A222C1,0
0307ec7,BEF460B090E0,1
030b9ea,5CE722A3188C,0
030cf8b,95D58426B4CF,1
0318358,0204D8150596,1
03194a0,81BC51842FBB,1
031ab01,A839196C8F32,1
031bbb0,1512BCEAEC81,1
031e4d6,82D5C9D45EFF,1
03205e9,F31356C6A1F6,1
032153a,021FA65557E1,1
03237a6,47FFD61D678B,1
0329d02,32AFFBE3D2B0,1
032a3bf,A66B88F03338,1
032db9e,389A17CB27FA,1
03314fd,308AD9A4728D,0
0331f55,8B24E44082C3,1
0338170,67A0D6085DB8,1
033a27e,9411BF4CF714,0
033aa4b,15C323D7E59D,1
03448b6,3085F5ECF4B0,0
0345980,49D7E40A1EF3,0
0347bb4,8006B9ECA272,0
034dbcf,B913965F729B,1
035a4d2,0E3B34467BCE,1
035e3c7,A1AB71F3352D,1
035e589,3FA5AFBA302B,1
035fd2d,EE31AC5445C7,1
03630c7,AEAD260656B4,1
0364075,D5B5FD51EE53,1
036e19b,6D2C1797E400,1
036f820,57076BE40C47,1
03705ca,3AA2140EB1F0,1
0374dae,B40E695539A0,1
037545d,72463404607,1
0376bcb,F854C455EFBC,1
037ac1f,1E2A668C0A92,1
038fd62,2C0247A6398B,1
039b748,BC2AB1466CE0,1
039e817,049719B4901D,1
039fed8,D9E2B14DEF39,1
03ae0c4,80D39980B802,1
03afc1e,6907A336C38F,0
03c0382,E895B5518815,1
03c7046,F864AA9E3B98,1
03c75d3,7BA3A439D22E,0
03ca725,AD0115C891C5,0
03ce0a7,96AC736B550F,1
03d074f,4563C7FDD3B2,1
03d8fe8,7C392B490E98,0
03da458,B219A0512B0A,1
03dc26a,5C7ADE4CBDE6,1
03e687e,8B7B261CFE04,1
03e804e,ED4795127FC4,1
03ec474,EA205A51D32C,1
03ee9ea,9F73A77C612F,1
03f2d76,4D60807BC303,1
03f8d0e,32A776287DD7,1
03f958f,B19B1C98C30D,0
03fb253,92E5CF25A5F4,1
03ff4c1,4C51280DE2A8,1
03ffbb2,C16B4A3D5386,1
04030c7,ABF59125AFE4,1
040ba87,F0CA58FE7FD9,1
040bb8a,6F63865D3193,0
04128c7,84C1C5AB5CEC,0
041804e,5CC8247F1F82,1
042167f,E37D94F9FEB7,1
0425a6e,41E37DB7A063,0
0429d4a,111D45750F1E,1
042b0cd,A2D7019DACF5,1
042dc86,C207F6DB38AA,1
0435f85,01D81E8DAD16,1
043d5a8,A132AEDB4B09,1
043d7ad,29C56EF2E579,1
043e1a0,C5E79E6868E6,1
044a23f,8EBD2CC376A9,1
044b201,490B52475D1E,1
04575a9,C3C371CA957E,0
0459116,E09853233CCF,1
045c7fb,99DE2E3E96E7,1
045fabf,A2C9897ACBD6,1
045fec2,B6C28D93DD33,1
0461df3,97A506FAF875,1
0467e2a,3428BEF70778,1
046d467,0EC4EF416F2F,1
046e84a,066FA0B48780,1
046efe7,74AA52A84086,1
047a377,B0A08E744DF1,1
047bb6e,6A8D21EBA6DB,0
047f2c6,D82CB7B7EC22,1
048b9b6,A2F3C27C7CE0,1
0493c5f,455D0FE2839E,1
0499982,D9B01C6A4F52,0
04a4399,BB7A76089910,1
04a4c98,BA0FE26CC562,1
04a99cb,C65C1B3AA577,1
04af4e1,B5DBDEBA4B23,1
04af97d,2870B71018F5,0
04b354e,7EE7A20BBBD4,1
04b4ad6,9F5CE92025D3,0
04b6e9b,DF1AA45CD325,1
04bc9b6,ED9BEDC624F6,1
04c4f26,50105417A5B7,1
04cecb6,97A5F803C874,1
04d0713,AE3C9DE4FA94,1
04d13e6,6F5447623086,1
04d2b73,F3D4B33DDC72,1
04d3f9c,BF9875A149DE,1
04d409d,905A76FFA540,0
04da4bf,037059DAD8EF,0
04db8d6,5F7FCFF14259,0
04dbd25,C4E15A188562,1
04defeb,617D32CBA149,1
04df837,B8476CE22AF9,1
04e00f8,E6609D9F2B35,1
04e1177,6A873E94B4C6,1
04e1cec,08CEBF338516,0
04e6cd8,9ACCFF9AF275,0
04ea96d,90A95275B80D,1
04ec9a4,072A68594C7F,1
04ef8ff,A32818600684,0
04f1fc3,D99382326F31,1
04f47a5,58EC9951A375,1
04f8928,CDBBE0DB0BC4,1
04fcfb0,7FC58DA53B39,0
0502b23,71D172196A84,0
0509d92,46325F9405AF,0
051429c,9A223BDC7F90,0
0514ba2,541CC72DE4AE,1
0516f28,1065173BBE31,1
05182bf,DD9E0D7DD506,0
0519419,17E173734A16,1
051c46a,B2EE7ADD5BFA,1
0539a44,D09CE06B96D1,1
053f99e,959CBC7A8FBE,0
053fa01,3853F5A3FEF5,0
0540b80,12CB349225CC,0
0544d67,4DA165368D17,1
0545b94,E6CA7F03B4BF,1
0548f53,F1D130F6A6DC,1
054b8f9,4D2C67616599,1
054e4c8,8C07C2DD62EF,1
05508b4,C978BF282141,1
0550fb1,F37464EF4C66,1
05580e1,84FFEF07FB0D,1
05592d5,F0BF1C177C1E,0
056394c,BC8E0B103D55,0
056a4a4,AB1224682953,1
056f9ed,2F889A4F325B,1
0571af0,B87765D67542,1
05806ed,970A1848B187,1
0581013,4A1F45A8E53D,0
058ecd3,899CC108A4DB,1
0595f5d,C51A802386C6,1
059af98,7E4F59B507AC,1
059f496,CF52358A03FF,1
05aacdb,87715E303EE0,1
05adbff,FCA226021172,1
05ae003,F6F8F6998B1C,1
05b01a4,44DF080F942A,1
05b0858,72EC6BF9671A,0
05b31a1,1CA42E3EA730,1
05b37db,02129B168AF3,1
05bcd1b,A17FAA0B69B3,0
05c2752,C5C9DAB3465A,0
05c4acd,1480DE5E012A,1
05c8b2d,EED67869F816,1
05c94e5,42BDA16EAE34,0
05cafcf,A339C727FB27,1
05cb18a,9767CC576831,1
05d73d1,E1DA1E513BE1,0
05dcee6,9C0B44764ED8,0
05e1eae,27A795DC36BE,0
05e6736,8B4129877D0C,0
05efbec,DF44B7B148CC,1
05f81ce,546C0401D25D,0
05fa0f0,D90DD44AD992,1
05fa43a,D582384A4FE6,1
05ff7b3,F9F27CA527E7,1
06041d8,54C37E68560F,0
06047ac,059BB1CA972D,1
060694e,F3EAB47CFB74,1
0607ed1,6CC50B90B811,1
0608495,33A64A13E2DA,1
0608fab,0AE68ED6D7D5,1
060a4e7,5B9A44B2CF80,1
060d2bb,7BB7EF3AD4C6,0
0613e60,7B0474D327FA,0
0616815,6B451E607EE7,1
061ba37,8D41F946EB16,1
06235e1,422B9A2CDAB6,1
062455d,85E7465A250B,1
0630503,86D7A5AD7C96,1
06333c3,DB52CCD25A19,0
0635458,B482A00A85FC,1
0639535,8CEE117C4C2A,1
0640183,FBCE3E3DEB51,0
0640912,6D604F2CC3B1,1
0642363,3B238858530C,1
0644f5b,26C77419488F,1
0649f8e,EB4A3811B1AF,1
0657f4c,B9E9DC1D176F,1
065c240,5A9A37FD3820,1
06633fa,B6BC06EBF644,1
06673c8,7BEB3F9FE21F,1
0667fd7,6280CD375AE2,0
0668f09,3CAA762B49EA,1
0670d67,0E08D2567318,1
06730ad,4C3F39412E92,0
06743f8,8.57E+11,0
0674a38,C535B3BA4F6A,0
06766be,5767604D2D7B,0
0678715,8C3558296BCC,1
0679f5a,38EB926DE7F0,0
067a23d,C1F74C98535E,0
067d842,2C20FC3AC128,1
0681136,1286593ACB5A,1
0683ac3,312C67D3E8B1,1
0687af4,F5853FE0C9AD,0
0689c67,2EB693F2A6DD,1
068ad55,DAC1C460EB9D,1
068aea7,4182232CC520,0
0693237,D76047B8987A,1
06939ab,BF181ED1EC7E,0
069945c,2B7C977B8420,1
069cd67,0A058E762E78,0
06a0e57,DB52CCD25A19,0
06a9e1d,00DF07E32141,1
06a9e59,AD68DBA87383,1
06a9fdf,1EA10265A9DE,1
06aa059,EFE0BEADA9C9,1
06aa705,D0271506EDE4,1
06b51cb,9A0B8CB86C16,1
06bad05,40D16884544D,0
06be122,A4BA65928B2C,0
06c3439,5B654ADA9ABC,1
06c3953,CFDF8A9D409D,1
06c7026,B133FCABD0AF,1
06c7ba1,4A5FD95B6D72,0
06c92ec,6C85412FCB05,1
06cb1df,41CE5718C5EE,1
06cbce6,02AF09F3BBA8,1
06cf397,912217409B39,1
06d32ab,6B29E8CD51CE,1
06d6248,9D9FAA8DE032,1
06d752e,A5F0ED6DAA05,1
06e25aa,88DB81B8AFF1,1
06e2db4,B3FE48815543,1
06ed983,7CF49F831E85,0
06ef6d4,BC7CD211742E,0
06fa3b6,1EBD0C27572B,1
070faae,99DC102284FC,0
0711276,230B3570C470,1
07122f0,AEF7EFDAE92E,1
0719241,F4ED8FD1FB3C,1
071bcae,D0B6CE1FA38E,1
071dba8,5A76FA581A84,1
071de41,8E516CABD84A,0
0728321,6480432E6A80,0
072c8a3,0F7898A32142,1
07309cb,2DABAC90201A,1
073d5b0,8F46AC3C99AA,1
0742654,DDEEC49D2390,1
0746d1a,5F1BD010E57C,1
07492fd,2E42B87EFEFD,1
074b43d,5729D5AE055C,1
074ba84,EB3C0D72CD1E,0
074fd98,45C958E01BAE,1
0759934,09F7F5FAB692,0
0760842,04B2980E6191,1
0760ba5,6F63865D3193,0
0760f30,7B9A897C5297,1
0764c35,57167C40AB58,0
076539f,75C65F266CFD,0
0767c85,2DA3EE593740,1
076f000,D96B4387A77D,1
077377d,80F9198FF5F5,1
0775ccb,56FBD20F0220,1
0778075,7EDFBE24CF70,0
077acd9,1B4E66B0BE0A,1
077cf8e,5ABD1ED06396,1
077eeea,D04B8C0FED99,0
078120d,AFB3358F2001,1
07845e1,D7BE3C6B8B22,0
0785120,78CA1A14F94A,0
0786ec3,AD9642EE9196,1
078c66d,6BC44943152F,1
078f997,1D391F27318B,1
0792205,7942E0DE4B51,1
07952db,E1DA1E513BE1,0
079a340,03F662678018,1
079b107,04AA83899997,1
079e8bb,E1817F7F8B08,1
07a14a5,5738013BE785,0
07a2516,AD86E73E978B,1
07a6b84,CD3D035EC17B,1
07a7832,7CC48A077E04,1
07a82b9,A2745099DA0B,1
07b6457,B9BDDC576454,1
07b6ce2,45A87F46D89C,1
07b76d3,DF202B25D2B6,1
07c48b4,590057B2F1E7,1
07c589a,4ABAB18923BC,1
07c7556,9AC1364B5A09,0
07ca280,AA0FF7AA95C3,1
07cd836,29A8E6DA6F04,1
07cde52,9.46E+11,1
07ce28e,6A7E874CD834,1
07d1a3b,7D45E237FAD5,1
07d2045,3980C03BD90A,1
07d41ed,6EB681AEA81C,1
07d6f42,BB66955D049E,0
07dd0fd,514ADDA113FD,1
07e11fc,1682D013ECE9,1
07e4b76,B40E695539A0,0
07e7133,1B1E2883EDE6,1
07e96aa,AD1E408FADF6,1
07eb783,1CD3F4F5916D,1
07f4106,0C5C2E05A868,0
07f838d,1811058EC9A2,1
07f8601,0F732A7BD7C6,1
0802a6e,EBA557BABACB,1
0804daa,EDAF3096F6D6,0
0811694,718D01BE7367,1
08133fe,1ADE56C19ACC,1
08139fb,C96BB22A0B19,1
0819c99,A86FB2EACCCB,1
081b620,04B79D6CF91D,1
081db56,1683314A34F5,1
08207e4,6EE9F61F7CDA,1
0821b94,5973102F43D7,1
08296be,AF41A3FAD333,1
082e9df,68612EF2F756,1
08407fe,5BEB7EE5A93F,1
0840ed9,68373FC6DA8A,1
0848273,24AECF3A8F14,0
084cdc4,3C55E492D3F1,1
084e848,9715D8D6F842,1
085092e,3B73A2616FCE,0
08519b2,B3D863372D3A,1
0854673,A4FF5E47645F,1
085f158,D50B2015BE66,1
08629e7,71417CD74368,0
0863447,84EFC1604183,1
08669b6,B97A09B22C06,1
0870d64,892FAC621FF5,1
0870f09,03A9CF7C7141,1
087c663,AC6BDCCB2B09,1
087f29f,275C5865E118,1
0882383,F6F766C1BDD2,1
088bb4a,DA456F289565,0
088c6ac,4EF6C70DC809,1
088fd5c,5F3C73DD5529,1
0890d0b,2.81E+11,1
0890e40,A9D670ADCE41,1
0892cb5,E7E9F568417F,1
089a7f7,BA2800CCEEC0,1
089aae3,4A4ED75E7112,1
089b9f0,158AFD44E7D5,1
089e8f5,9B59CDA21471,1
08a4217,63797379A499,1
08a4c92,334B7E750FA3,0
08a5c68,EB3686DF1E9B,1
08ab023,ABF0CD33A11E,0
08b1777,8CD899D37F34,1
08b8798,7D35C0A78F19,0
08c3b51,205A433D0CAC,1
08c6a31,75B94E37D75A,1
08cd1b8,75C65F266CFD,0
08cdf6e,F497369C41C2,1
08cec1d,C57E6EAB037F,1
08d4d59,B516D974076B,1
08d9638,A7EC6F462F8B,0
08dab5c,5E40EBC2AA30,0
08dac82,5767604D2D7B,0
08dcd91,2C4272F02823,1
08def35,BBF34C059226,1
08e2ae1,E595E218D423,1
08e4b2e,06836C5C3838,1
08ef617,D343B114EB72,1
08f129d,FC3E4F3CEA43,1
08f22e9,91125D5EEA38,1
08f5a36,C492123F426E,1
08fa0b3,1CC687467986,1
08fb0fb,D613335EB1F7,1
08fbb47,3552B9EDEBFB,1
0906ee2,401268F9E518,1
0909271,8F8E1AECFE27,1
090c52d,6E919842050C,1
0912e51,43391E7ECDB6,1
0913268,B4125B5A9FE5,0
0916c73,F7F36EB444A8,0
0916f2c,E6593B7BFBEB,1
091a770,38973557F499,1
091a8ca,BB86A3A5AFE7,0
091e483,6786EE6112A7,0
091eaf0,F7F9373BAEA4,1
0926d5e,F891A929A12D,1
092a3b6,1CB94A9B77DC,1
092ff4e,435CA610C1D4,1
0931a6e,B388B227F700,1
09330dc,F074E15D7250,1
09344c3,9BFC654E5BA3,1
093da21,13B371557529,0
0946813,0073D8E68F46,1
0947cdc,2F2AE6BCDAF9,1
09487c8,128414C6478A,1
095042a,B6B83F631471,1
0952aee,A774A4991BB1,1
0958685,7FC328E17C03,1
095d62a,7B1E55213D00,1
095f993,F90365E41B4C,1
0962f2b,058C37ACCBFC,1
0966167,5A230824A066,1
0967e3f,ABE4228EB3FF,1
096aa1c,D1763EC0A46A,1
096b178,AFCC087987D7,1
096eae9,58DEF94A4FAB,0
0973664,A89D474C5DE6,1
0975e3f,72271FDE4F35,1
09763fb,8940AF506B7E,1
097b864,EFD083A64487,1
0980c17,2E7A3C2D1DF1,1
098c450,FE6113EF0938,1
098d10a,B99C94EDFA6A,1
098d6c6,BFB85A347E9A,1
09915db,7D5CCCA1F0B0,1
0999761,1693FF58E7B9,0
099fc28,FCE99B6AA6EB,1
09a04e4,16B3018834F0,1
09a62eb,066433A0C38A,1
09a7f87,3A62FC8BAE78,1
09af24e,80B9FD665FFD,0
09b1823,7955962D0624,1
09b1b24,E5AFCEF8161C,1
09b7afb,D435D6FB2D3A,1
09b7da8,E151FC867457,1
09bd6f6,2066D16EBFAF,0
09c0506,8A2EC5DE84D4,1
09c4d28,AF077034AC88,0
09c5771,26964FDA77BF,1
09c8185,EC8FCCDB698A,1
09c97ba,A97501292742,1
09cc092,87A9DEE6758F,1
09ce958,A4C9096A123B,1
09d065f,528C57978FBB,0
09d976b,EFD320B985D6,1
09da56a,360718CF0DA4,1
09df111,0175D7EC42C2,1
09e2b3e,BBB6E0302CFE,1
09e4fce,0B7F3B54E23E,1
09e6583,5C75990D9E18,0
09e971b,32DCF7DED3F8,1
09f2c09,2B002FEE337E,1
09f7d1f,331502EB3762,1
09fc519,81E072350B09,1
0a01969,184077A08F67,0
0a0388e,D0DF7AB8B493,1
0a07f07,95EB945C6583,1
0a0d3b4,F36E0B012BEB,1
0a0f7cc,E2A75A854E28,0
0a0f8b3,41CDAAA96888,0
0a22908,3E914F66058C,1
0a238c3,4934E8AB3F32,1
0a28113,3F04A031F539,1
0a30626,C6DFD354330C,1
0a31858,F88808130618,1
0a31cd0,149F4C187FDA,0
0a35ec7,5C89A681658E,1
0a41d42,E5DA7F8910D4,0
0a45f39,B1FDBC8F5BAB,0
0a45f5b,3B61207AD210,1
0a48500,9DD9806F1035,1
0a494e5,2.45E+11,0
0a50c61,E49069AE274F,1
0a54018,64C8461FF6A9,0
0a62a7a,CA72B4219DD8,1
0a67e11,0D11CD49499E,1
0a6ac75,C3F1941B33FC,1
0a7ef89,3D590E3135BE,1
0a7fbd0,C36AECC3C173,1
0a834e9,A359B48CA177,1
0a8590a,2B4A794ED0D8,1
0a919e5,485A000C7A0B,1
0a919e7,4478B3244F49,1
0a93900,90F40592D04C,1
0a9488d,CBC776495BE0,1
0a94ac7,A7BD93C544AE,1
0a98eef,CE33B0E35C38,0
0a99d52,E4AB9E8C2F5B,1
0a9df6a,7B63367C69B4,0
0aa6277,B05A40461916,1
0aa8caf,316621B5415B,1
0aa9cee,F56337A0A795,1
0aaae26,3839A6392F64,1
0aae146,D34054ADD2FB,1
0aaf5f1,4A4A502DE26A,1
0ab5467,7400CDF18544,1
0aba46b,7AA2992D0E4F,1
0abf87b,57CE9B2BAC9A,1
0ac26e9,1F7C2B4BE1FB,1
0ac3c47,7BD745B383F0,1
0ac8051,976BC9C79AD2,1
0acad9f,FC0C60D3B9B1,0
0acae1e,5942FB27D5C3,1
0acfeeb,4ABA61F516D1,1
0ad0588,80D8060629C9,1
0ad08bd,7A40839A44E2,1
0ad1f49,59E7F08554FC,1
0ad4908,D54B7CC9CDD4,1
0ad4de2,495DF4F67D20,0
0ada1e2,B87D9BCAD703,1
0adafa7,616F8E0EFABF,1
0add2dc,8E6FA034C8DA,0
0ae1dee,DCB80D17A96A,1
0ae3894,80610E309C9C,1
0aec0b5,2C2C377C45D0,1
0aefcef,8AC5940AF808,1
0af2d2d,61FED6B5DED5,1
0af56e8,F34AEA4F0678,1
0afe6a6,E9CB9F4AFB04,1
0b059bd,913FE4438522,1
0b0644a,FF7ADCC6146A,0
0b095ea,C978BF282141,0
0b0f882,57CE6ED06513,1
0b153d1,AEE6C379C668,1
0b15a66,8CD899D37F34,0
0b1ab1d,B93A39B62244,0
0b23a57,6FE630306C0B,0
0b271eb,43193857B6A5,1
0b28ade,FBE4AAD08E49,1
0b2a399,B6680459407E,1
0b2bfc4,56193E77BB71,0
0b2c063,BE9761F227C5,0
0b35fa9,E8F4BD1D7CFB,0
0b3ab03,AB3CE967B9EB,1
0b47a00,6A099CADF367,1
0b488e9,883F74BBBD37,0
0b4b11b,911DCD21A2C9,1
0b4df74,E249399CA04E,1
0b4ecc7,153AD7187B9C,1
0b53b04,0EABD0E9475D,1
0b551ad,FFFF690EF7F8,1
0b568f9,658EF079C0E7,1
0b5971b,30B70D8D63E6,1
0b5c44b,E2126994422B,1
0b62ebe,27DE9583F170,1
0b64865,2FBF5E60CF2A,0
0b6df5c,59D774A561A0,0
0b700a7,DCEFCD232E32,1
0b708bc,679E08FE07E9,1
0b72cc9,4BC807C50185,1
0b76940,E75EBEC4C1FE,1
0b8588b,870D9B35F20A,1
0b869b2,FEB37659C3F1,0
0b88519,118B49290D01,1
0b8e735,E1093A3549CF,0
0b8ed23,ABEA672F96E3,1
0b8fea3,C17D3D685049,0
0b9274e,974FC194F049,1
0b9d88d,F4C21F226D20,0
0ba0895,987ECCF90CE8,1
0ba0a50,D332F4EF5948,0
0ba4fc3,4882C3AEFB04,1
0ba78ec,2D1749D9898F,1
0bacb0f,D2C3D90E5C79,1
0bb0bc1,9DF6EA80A0A6,1
0bb2665,8E0FEEC3DF47,1
0bb5c8c,BE0CFB4B3712,0
0bb7157,F44F49940938,1
0bb7573,8CAA0431D2F9,1
0bbaaee,4147DA384973,1
0bbbed5,9F58158AD849,1
0bc0443,EEF82DE901C9,1
0bc43f3,9A3773AF0066,1
0bc541d,94558FCBA03C,1
0bcac40,CAD242499411,1
0be5034,B85EB90ECB1C,1
0bea5df,0569AB34FCC3,0
0beb053,AEE6C379C668,0
0bebdc5,1A02FEA9FEAA,1
0bee92d,A23FF67A91B5,1
0bf03a7,3BC989105A18,1
0bf34b6,FEC4570AE7FF,1
0bf39e6,C48AEB2F1FC2,1
0bfe967,9E4DA80F09E2,1
0bfeec7,004BE23B05BF,1
0c02064,AA73ECB81C33,1
0c0463c,B2426E4674E7,1
0c047cd,1B593EED2F3A,0
0c059b2,B460B20EE678,0
0c09020,3F2796434CCA,1
0c0b284,DB20FBDA9A19,1
0c0eeb7,5AB865AA319A,1
0c10954,BA37A99E359F,1
0c1322b,2450993EB016,1
0c13438,0DF638AD6B6B,1
0c172e6,974D52681472,1
0c1da05,5528B818FBDB,1
0c2a63d,94558FCBA03C,0
0c2f000,F280DC36C974,1
0c2f27d,466F9897455C,0
0c34cc0,93BF2E6CB5B1,1
0c385a8,2589CDBE363E,1
0c3a8a0,B79ABAFC71D1,1
0c4420d,077EA8162D03,0
0c442a8,82CD853B398D,1
0c47509,F50C3F04944B,1
0c488ee,304B289DB3D2,1
0c4ede2,0569AB34FCC3,0
0c560ab,133AD1CA506C,1
0c5c345,FBC72F5358BE,0
0c5e863,26F26684B563,0
0c5ec1c,963F9F1E5524,1
0c61969,03CECCDBCC09,1
0c63220,62BC144D48C1,0
0c66cb3,BDA453D8E1C7,1
0c6c628,6F63865D3193,0
0c6cb29,4AFC0853D08D,1
0c6cdfe,E22833B1E06E,1
0c720f3,8C3558296BCC,0
0c72406,B41FEAA888D4,0
0c76268,3678244C90C0,0
0c76a09,04CD9AA9ECC5,1
0c8039c,2D5E45654C18,1
0c82120,A681057AC54F,1
0c85030,DC1F229E25E4,1
0c88bb6,6B4829C2E5E2,1
0c8a07d,2C52B3D0BBAC,1
0c8abe3,A9FFC5EDF895,1
0c8f97b,13D83C05F4D8,1
0c9029c,F4733B79DD6A,1
0c9c20d,7DC8112AA69C,0
0c9e34e,F682F859D633,1
0cae471,57167C40AB58,0
0cb15fe,E8301922006D,1
0cb54b1,48D4153FEA5C,1
0cb8a22,9DCCDC8DB158,1
0cc9cb5,BA6AC1A0DD5D,1
0cd1679,978E15D52F24,1
0cd7e90,BECE5A864891,0
0cd80da,0D5C8AC6D76F,1
0cd96ea,D69D856DF697,1
0cdb059,ACDC0E91BA90,1
0cdc0d0,520B38139E21,1
0cdf1ff,C3C371CA957E,0
0ce3c1c,5EB1944E4C52,1
0cecb68,552E2FEC5EFA,1
0cf0f8e,747B06CF4DA3,1
0cf8c55,3A23BC10DD8C,1
0cf9088,5C503E0A2A01,1
0cffbfb,2A5FFA718E2C,1
0d077e2,DF723D10CC23,1
