essay_id,src,topic
014eba6,kaggle-persuade,3
014f1b3,kaggle-persuade,4
0151c0f,kaggle-persuade,3
0155be4,kaggle-only,6
0156ea6,kaggle-persuade,1
015ac93,kaggle-persuade,1
016010c,kaggle-persuade,12
0163804,kaggle-persuade,5
01665d5,kaggle-only,0
016ed64,kaggle-only,1
01711c3,kaggle-persuade,12
01846d8,kaggle-persuade,5
0187e96,kaggle-persuade,5
018985d,kaggle-persuade,0
018fbeb,kaggle-persuade,6
018ff85,kaggle-only,6
019b862,kaggle-persuade,1
019e2c4,kaggle-persuade,5
019e8c3,kaggle-only,6
01a0d33,kaggle-only,12
01a39ed,kaggle-persuade,6
01a53e1,kaggle-persuade,1
01ad79e,kaggle-only,0
01ae85f,kaggle-persuade,4
01b55c8,kaggle-persuade,5
01b9b63,kaggle-persuade,0
01bb061,kaggle-persuade,5
01bb07c,kaggle-persuade,4
01bb2f3,kaggle-persuade,6
01bd69c,kaggle-only,0
01c1169,kaggle-only,0
01c3e09,kaggle-only,1
01c46fa,kaggle-persuade,0
01c5073,kaggle-persuade,0
01c5750,kaggle-persuade,1
01c5e87,kaggle-only,6
01c8f7a,kaggle-persuade,0
01cbe3d,kaggle-persuade,1
01d0836,kaggle-persuade,1
01d2df1,kaggle-persuade,6
01d6e7e,kaggle-persuade,3
01dabde,kaggle-persuade,5
01e0bb8,kaggle-persuade,0
01e64c4,kaggle-only,1
01e78c7,kaggle-only,1
01ec06b,kaggle-persuade,4
01ec1a3,kaggle-only,3
01f5682,kaggle-persuade,4
0200fbc,kaggle-only,1
0210900,kaggle-persuade,0
0211cb6,kaggle-persuade,4
021271e,kaggle-persuade,1
0220c9f,kaggle-persuade,0
0224c63,kaggle-persuade,9
0226250,kaggle-only,12
0226c11,kaggle-only,3
0227e67,kaggle-persuade,5
022a010,kaggle-persuade,0
022b620,kaggle-persuade,9
022d72e,kaggle-persuade,9
0232d34,kaggle-persuade,5
0232fa2,kaggle-persuade,4
0237cbd,kaggle-persuade,9
023ab53,kaggle-persuade,1
023c138,kaggle-persuade,5
024873e,kaggle-persuade,4
024a3bb,kaggle-persuade,0
025d46f,kaggle-persuade,0
0262618,kaggle-persuade,3
026355a,kaggle-persuade,9
0264158,kaggle-persuade,6
0269b85,kaggle-persuade,3
0273b7b,kaggle-only,1
0279487,kaggle-persuade,12
027a1f9,kaggle-only,3
0281195,kaggle-persuade,9
0286af8,kaggle-persuade,9
028d00e,kaggle-only,12
0293f31,kaggle-only,0
0296469,kaggle-persuade,6
02a059f,kaggle-only,1
02a1298,kaggle-persuade,0
02a1c3a,kaggle-only,12
02a7530,kaggle-persuade,9
02a7cff,kaggle-persuade,0
02a9d14,kaggle-persuade,9
02ab5d2,kaggle-only,6
02b6da9,kaggle-persuade,0
02c0440,kaggle-persuade,1
02c1ebd,kaggle-persuade,0
02cbcbc,kaggle-persuade,12
02cd88d,kaggle-persuade,0
02cfa15,kaggle-persuade,0
02d0224,kaggle-persuade,9
02d1c60,kaggle-only,12
02d481d,kaggle-persuade,4
02d8dd2,kaggle-persuade,5
02da02a,kaggle-persuade,9
02dabc0,kaggle-persuade,3
02ecf18,kaggle-persuade,9
02f131c,kaggle-persuade,3
02f14c6,kaggle-only,3
02f6c8a,kaggle-persuade,3
0302537,kaggle-persuade,12
0305a15,kaggle-only,12
0307ec7,kaggle-persuade,4
030b9ea,kaggle-only,3
030cf8b,kaggle-persuade,5
0318358,kaggle-persuade,6
03194a0,kaggle-persuade,3
031ab01,kaggle-persuade,0
031bbb0,kaggle-persuade,3
031e4d6,kaggle-persuade,9
03205e9,kaggle-persuade,1
032153a,kaggle-persuade,5
03237a6,kaggle-persuade,5
0329d02,kaggle-persuade,6
032a3bf,kaggle-persuade,5
032db9e,kaggle-persuade,5
03314fd,kaggle-only,0
0331f55,kaggle-persuade,12
0338170,kaggle-persuade,9
033a27e,kaggle-only,6
033aa4b,kaggle-persuade,1
03448b6,kaggle-only,1
0345980,kaggle-only,12
0347bb4,kaggle-only,0
034dbcf,kaggle-persuade,3
035a4d2,kaggle-persuade,4
035e3c7,kaggle-persuade,4
035e589,kaggle-persuade,3
035fd2d,kaggle-persuade,3
03630c7,kaggle-persuade,9
0364075,kaggle-persuade,4
036e19b,kaggle-persuade,9
036f820,kaggle-persuade,5
03705ca,kaggle-persuade,5
0374dae,kaggle-persuade,3
037545d,kaggle-persuade,0
0376bcb,kaggle-persuade,3
037ac1f,kaggle-persuade,6
038fd62,kaggle-persuade,0
039b748,kaggle-persuade,12
039e817,kaggle-persuade,4
039fed8,kaggle-persuade,0
03ae0c4,kaggle-persuade,4
03afc1e,kaggle-only,0
03c0382,kaggle-persuade,9
03c7046,kaggle-persuade,5
03c75d3,kaggle-only,0
03ca725,kaggle-only,9
03ce0a7,kaggle-persuade,6
03d074f,kaggle-persuade,4
03d8fe8,kaggle-only,0
03da458,kaggle-persuade,12
03dc26a,kaggle-persuade,0
03e687e,kaggle-persuade,5
03e804e,kaggle-persuade,5
03ec474,kaggle-persuade,9
03ee9ea,kaggle-persuade,0
03f2d76,kaggle-persuade,0
03f8d0e,kaggle-persuade,5
03f958f,kaggle-only,12
03fb253,kaggle-persuade,9
03ff4c1,kaggle-persuade,3
03ffbb2,kaggle-persuade,5
04030c7,kaggle-persuade,4
040ba87,kaggle-persuade,4
040bb8a,kaggle-only,6
04128c7,kaggle-only,12
041804e,kaggle-persuade,0
042167f,kaggle-persuade,5
0425a6e,kaggle-only,1
0429d4a,kaggle-persuade,6
042b0cd,kaggle-persuade,4
042dc86,kaggle-persuade,12
0435f85,kaggle-persuade,1
043d5a8,kaggle-persuade,6
043d7ad,kaggle-persuade,0
043e1a0,kaggle-persuade,3
044a23f,kaggle-persuade,4
044b201,kaggle-persuade,4
04575a9,kaggle-only,0
0459116,kaggle-persuade,4
045c7fb,kaggle-persuade,0
045fabf,kaggle-persuade,0
045fec2,kaggle-persuade,6
0461df3,kaggle-persuade,3
0467e2a,kaggle-persuade,5
046d467,kaggle-persuade,5
046e84a,kaggle-persuade,3
046efe7,kaggle-persuade,3
047a377,kaggle-persuade,0
047bb6e,kaggle-only,12
047f2c6,kaggle-persuade,6
048b9b6,kaggle-persuade,5
0493c5f,kaggle-persuade,0
0499982,kaggle-only,6
04a4399,kaggle-persuade,0
04a4c98,kaggle-persuade,9
04a99cb,kaggle-persuade,4
04af4e1,kaggle-persuade,5
04af97d,kaggle-only,6
04b354e,kaggle-persuade,4
04b4ad6,kaggle-only,1
04b6e9b,kaggle-persuade,0
04bc9b6,kaggle-persuade,3
04c4f26,kaggle-persuade,4
04cecb6,kaggle-persuade,6
04d0713,kaggle-persuade,4
04d13e6,kaggle-persuade,12
04d2b73,kaggle-persuade,0
04d3f9c,kaggle-persuade,1
04d409d,kaggle-only,12
04da4bf,kaggle-only,0
04db8d6,kaggle-only,1
04dbd25,kaggle-persuade,5
04defeb,kaggle-persuade,3
04df837,kaggle-persuade,1
04e00f8,kaggle-persuade,0
04e1177,kaggle-persuade,6
04e1cec,kaggle-only,0
04e6cd8,kaggle-only,3
04ea96d,kaggle-persuade,4
04ec9a4,kaggle-persuade,9
04ef8ff,kaggle-only,12
04f1fc3,kaggle-persuade,3
04f47a5,kaggle-persuade,1
04f8928,kaggle-persuade,6
04fcfb0,kaggle-only,3
0502b23,kaggle-only,0
0509d92,kaggle-only,3
051429c,kaggle-only,1
0514ba2,kaggle-persuade,4
0516f28,kaggle-persuade,5
05182bf,kaggle-only,3
0519419,kaggle-persuade,4
051c46a,kaggle-persuade,4
0539a44,kaggle-persuade,5
053f99e,kaggle-only,6
053fa01,kaggle-only,3
0540b80,kaggle-only,6
0544d67,kaggle-persuade,6
0545b94,kaggle-persuade,0
0548f53,kaggle-persuade,9
054b8f9,kaggle-persuade,1
054e4c8,kaggle-persuade,3
05508b4,kaggle-persuade,1
0550fb1,kaggle-persuade,4
05580e1,kaggle-persuade,3
05592d5,kaggle-only,6
056394c,kaggle-only,12
056a4a4,kaggle-persuade,5
056f9ed,kaggle-persuade,4
0571af0,kaggle-persuade,5
05806ed,kaggle-persuade,3
0581013,kaggle-only,3
058ecd3,kaggle-persuade,5
0595f5d,kaggle-persuade,0
059af98,kaggle-persuade,1
059f496,kaggle-persuade,0
05aacdb,kaggle-persuade,5
05adbff,kaggle-persuade,4
05ae003,kaggle-persuade,5
05b01a4,kaggle-persuade,1
05b0858,kaggle-only,1
05b31a1,kaggle-persuade,1
05b37db,kaggle-persuade,0
05bcd1b,kaggle-only,1
05c2752,kaggle-only,6
05c4acd,kaggle-persuade,3
05c8b2d,kaggle-persuade,3
05c94e5,kaggle-only,1
05cafcf,kaggle-persuade,0
05cb18a,kaggle-persuade,9
05d73d1,kaggle-only,12
05dcee6,kaggle-only,0
05e1eae,kaggle-only,1
05e6736,kaggle-only,6
05efbec,kaggle-persuade,0
05f81ce,kaggle-only,12
05fa0f0,kaggle-persuade,1
05fa43a,kaggle-persuade,0
05ff7b3,kaggle-persuade,0
06041d8,kaggle-only,1
06047ac,kaggle-persuade,0
060694e,kaggle-persuade,0
0607ed1,kaggle-persuade,4
0608495,kaggle-persuade,12
0608fab,kaggle-persuade,5
060a4e7,kaggle-persuade,1
060d2bb,kaggle-only,3
0613e60,kaggle-only,6
0616815,kaggle-persuade,9
061ba37,kaggle-persuade,5
06235e1,kaggle-persuade,0
062455d,kaggle-persuade,1
0630503,kaggle-persuade,0
06333c3,kaggle-only,12
0635458,kaggle-persuade,12
0639535,kaggle-persuade,4
0640183,kaggle-only,0
0640912,kaggle-persuade,12
0642363,kaggle-persuade,6
0644f5b,kaggle-persuade,5
0649f8e,kaggle-persuade,4
0657f4c,kaggle-persuade,4
065c240,kaggle-persuade,1
06633fa,kaggle-persuade,5
06673c8,kaggle-persuade,12
0667fd7,kaggle-only,0
0668f09,kaggle-persuade,5
0670d67,kaggle-persuade,12
06730ad,kaggle-only,9
06743f8,kaggle-only,6
0674a38,kaggle-only,6
06766be,kaggle-only,6
0678715,kaggle-persuade,6
0679f5a,kaggle-only,1
067a23d,kaggle-only,1
067d842,kaggle-persuade,4
0681136,kaggle-persuade,3
0683ac3,kaggle-persuade,0
0687af4,kaggle-only,12
0689c67,kaggle-persuade,3
068ad55,kaggle-persuade,4
068aea7,kaggle-only,6
0693237,kaggle-persuade,9
06939ab,kaggle-only,12
069945c,kaggle-persuade,0
069cd67,kaggle-only,6
06a0e57,kaggle-only,6
06a9e1d,kaggle-persuade,9
06a9e59,kaggle-persuade,9
06a9fdf,kaggle-persuade,3
06aa059,kaggle-persuade,0
06aa705,kaggle-persuade,1
06b51cb,kaggle-persuade,3
06bad05,kaggle-only,0
06be122,kaggle-only,3
06c3439,kaggle-persuade,9
06c3953,kaggle-persuade,3
06c7026,kaggle-persuade,3
06c7ba1,kaggle-only,6
06c92ec,kaggle-persuade,3
06cb1df,kaggle-persuade,1
06cbce6,kaggle-persuade,9
06cf397,kaggle-persuade,5
06d32ab,kaggle-persuade,9
06d6248,kaggle-persuade,1
06d752e,kaggle-persuade,4
06e25aa,kaggle-persuade,9
06e2db4,kaggle-persuade,0
06ed983,kaggle-only,0
06ef6d4,kaggle-only,3
06fa3b6,kaggle-persuade,12
070faae,kaggle-only,0
0711276,kaggle-persuade,6
07122f0,kaggle-persuade,1
0719241,kaggle-persuade,9
071bcae,kaggle-persuade,1
071dba8,kaggle-persuade,9
071de41,kaggle-only,0
0728321,kaggle-only,3
072c8a3,kaggle-persuade,6
07309cb,kaggle-persuade,1
073d5b0,kaggle-persuade,0
0742654,kaggle-persuade,0
0746d1a,kaggle-persuade,6
07492fd,kaggle-persuade,0
074b43d,kaggle-persuade,4
074ba84,kaggle-only,9
074fd98,kaggle-persuade,5
0759934,kaggle-only,6
0760842,kaggle-persuade,4
0760ba5,kaggle-only,6
0760f30,kaggle-persuade,12
0764c35,kaggle-only,1
076539f,kaggle-only,3
0767c85,kaggle-persuade,4
076f000,kaggle-persuade,3
077377d,kaggle-persuade,4
0775ccb,kaggle-persuade,9
0778075,kaggle-only,1
077acd9,kaggle-persuade,5
077cf8e,kaggle-persuade,3
077eeea,kaggle-only,1
078120d,kaggle-persuade,1
07845e1,kaggle-only,3
0785120,kaggle-only,12
0786ec3,kaggle-persuade,0
078c66d,kaggle-persuade,12
078f997,kaggle-persuade,3
0792205,kaggle-persuade,4
07952db,kaggle-only,12
079a340,kaggle-persuade,9
079b107,kaggle-persuade,5
079e8bb,kaggle-persuade,6
07a14a5,kaggle-only,1
07a2516,kaggle-persuade,9
07a6b84,kaggle-persuade,12
07a7832,kaggle-persuade,5
07a82b9,kaggle-persuade,5
07b6457,kaggle-persuade,3
07b6ce2,kaggle-persuade,5
07b76d3,kaggle-persuade,6
07c48b4,kaggle-persuade,0
07c589a,kaggle-persuade,9
07c7556,kaggle-only,12
07ca280,kaggle-persuade,4
07cd836,kaggle-persuade,5
07cde52,kaggle-persuade,6
07ce28e,kaggle-persuade,0
07d1a3b,kaggle-persuade,1
07d2045,kaggle-persuade,4
07d41ed,kaggle-persuade,0
07d6f42,kaggle-only,0
07dd0fd,kaggle-persuade,1
07e11fc,kaggle-persuade,3
07e4b76,kaggle-only,3
07e7133,kaggle-persuade,4
07e96aa,kaggle-persuade,3
07eb783,kaggle-persuade,1
07f4106,kaggle-only,0
07f838d,kaggle-persuade,0
07f8601,kaggle-persuade,3
0802a6e,kaggle-persuade,0
0804daa,kaggle-only,0
0811694,kaggle-persuade,6
08133fe,kaggle-persuade,0
08139fb,kaggle-persuade,9
0819c99,kaggle-persuade,5
081b620,kaggle-persuade,0
081db56,kaggle-persuade,0
08207e4,kaggle-persuade,6
0821b94,kaggle-persuade,6
08296be,kaggle-persuade,9
082e9df,kaggle-persuade,5
08407fe,kaggle-persuade,0
0840ed9,kaggle-persuade,9
0848273,kaggle-only,3
084cdc4,kaggle-persuade,0
084e848,kaggle-persuade,6
085092e,kaggle-only,3
08519b2,kaggle-persuade,5
0854673,kaggle-persuade,9
085f158,kaggle-persuade,4
08629e7,kaggle-only,0
0863447,kaggle-persuade,1
08669b6,kaggle-persuade,9
0870d64,kaggle-persuade,9
0870f09,kaggle-persuade,4
087c663,kaggle-persuade,3
087f29f,kaggle-persuade,4
0882383,kaggle-persuade,0
088bb4a,kaggle-only,1
088c6ac,kaggle-persuade,5
088fd5c,kaggle-persuade,5
0890d0b,kaggle-persuade,12
0890e40,kaggle-persuade,1
0892cb5,kaggle-persuade,5
089a7f7,kaggle-persuade,3
089aae3,kaggle-persuade,9
089b9f0,kaggle-persuade,9
089e8f5,kaggle-persuade,6
08a4217,kaggle-persuade,9
08a4c92,kaggle-only,9
08a5c68,kaggle-persuade,5
08ab023,kaggle-only,3
08b1777,kaggle-persuade,6
08b8798,kaggle-only,3
08c3b51,kaggle-persuade,1
08c6a31,kaggle-persuade,0
08cd1b8,kaggle-only,3
08cdf6e,kaggle-persuade,0
08cec1d,kaggle-persuade,1
08d4d59,kaggle-persuade,1
08d9638,kaggle-only,12
08dab5c,kaggle-only,12
08dac82,kaggle-only,6
08dcd91,kaggle-persuade,0
08def35,kaggle-persuade,1
08e2ae1,kaggle-persuade,9
08e4b2e,kaggle-persuade,3
08ef617,kaggle-persuade,12
08f129d,kaggle-persuade,5
08f22e9,kaggle-persuade,3
08f5a36,kaggle-persuade,12
08fa0b3,kaggle-persuade,0
08fb0fb,kaggle-persuade,9
08fbb47,kaggle-persuade,1
0906ee2,kaggle-persuade,0
0909271,kaggle-persuade,9
090c52d,kaggle-persuade,4
0912e51,kaggle-persuade,9
0913268,kaggle-only,3
0916c73,kaggle-only,1
0916f2c,kaggle-persuade,0
091a770,kaggle-persuade,1
091a8ca,kaggle-only,12
091e483,kaggle-only,0
091eaf0,kaggle-persuade,4
0926d5e,kaggle-persuade,4
092a3b6,kaggle-persuade,0
092ff4e,kaggle-persuade,5
0931a6e,kaggle-persuade,9
09330dc,kaggle-persuade,5
09344c3,kaggle-persuade,12
093da21,kaggle-only,0
0946813,kaggle-persuade,6
0947cdc,kaggle-persuade,5
09487c8,kaggle-persuade,9
095042a,kaggle-persuade,4
0952aee,kaggle-persuade,4
0958685,kaggle-persuade,9
095d62a,kaggle-persuade,0
095f993,kaggle-persuade,6
0962f2b,kaggle-persuade,1
0966167,kaggle-persuade,0
0967e3f,kaggle-persuade,9
096aa1c,kaggle-persuade,12
096b178,kaggle-persuade,5
096eae9,kaggle-only,12
0973664,kaggle-persuade,4
0975e3f,kaggle-persuade,12
09763fb,kaggle-persuade,5
097b864,kaggle-persuade,4
0980c17,kaggle-persuade,4
098c450,kaggle-persuade,9
098d10a,kaggle-persuade,1
098d6c6,kaggle-persuade,0
09915db,kaggle-persuade,1
0999761,kaggle-only,12
099fc28,kaggle-persuade,9
09a04e4,kaggle-persuade,1
09a62eb,kaggle-persuade,6
09a7f87,kaggle-persuade,0
09af24e,kaggle-only,6
09b1823,kaggle-persuade,1
09b1b24,kaggle-persuade,5
09b7afb,kaggle-persuade,5
09b7da8,kaggle-persuade,0
09bd6f6,kaggle-only,6
09c0506,kaggle-persuade,4
09c4d28,kaggle-only,3
09c5771,kaggle-persuade,5
09c8185,kaggle-persuade,1
09c97ba,kaggle-persuade,1
09cc092,kaggle-persuade,4
09ce958,kaggle-persuade,4
09d065f,kaggle-only,9
09d976b,kaggle-persuade,1
09da56a,kaggle-persuade,5
09df111,kaggle-persuade,1
09e2b3e,kaggle-persuade,9
09e4fce,kaggle-persuade,4
09e6583,kaggle-only,0
09e971b,kaggle-persuade,0
09f2c09,kaggle-persuade,0
09f7d1f,kaggle-persuade,0
09fc519,kaggle-persuade,0
0a01969,kaggle-only,12
0a0388e,kaggle-persuade,4
0a07f07,kaggle-persuade,5
0a0d3b4,kaggle-persuade,3
0a0f7cc,kaggle-only,6
0a0f8b3,kaggle-only,6
0a22908,kaggle-persuade,1
0a238c3,kaggle-persuade,6
0a28113,kaggle-persuade,0
0a30626,kaggle-persuade,6
0a31858,kaggle-persuade,1
0a31cd0,kaggle-only,9
0a35ec7,kaggle-persuade,4
0a41d42,kaggle-only,3
0a45f39,kaggle-only,1
0a45f5b,kaggle-persuade,12
0a48500,kaggle-persuade,0
0a494e5,kaggle-only,1
0a50c61,kaggle-persuade,1
0a54018,kaggle-only,12
0a62a7a,kaggle-persuade,5
0a67e11,kaggle-persuade,4
0a6ac75,kaggle-persuade,5
0a7ef89,kaggle-persuade,9
0a7fbd0,kaggle-persuade,4
0a834e9,kaggle-persuade,0
0a8590a,kaggle-persuade,4
0a919e5,kaggle-persuade,5
0a919e7,kaggle-persuade,4
0a93900,kaggle-persuade,1
0a9488d,kaggle-persuade,4
0a94ac7,kaggle-persuade,5
0a98eef,kaggle-only,0
0a99d52,kaggle-persuade,6
0a9df6a,kaggle-only,6
0aa6277,kaggle-persuade,1
0aa8caf,kaggle-persuade,12
0aa9cee,kaggle-persuade,3
0aaae26,kaggle-persuade,4
0aae146,kaggle-persuade,4
0aaf5f1,kaggle-persuade,1
0ab5467,kaggle-persuade,3
0aba46b,kaggle-persuade,3
0abf87b,kaggle-persuade,6
0ac26e9,kaggle-persuade,0
0ac3c47,kaggle-persuade,9
0ac8051,kaggle-persuade,4
0acad9f,kaggle-only,3
0acae1e,kaggle-persuade,4
0acfeeb,kaggle-persuade,4
0ad0588,kaggle-persuade,0
0ad08bd,kaggle-persuade,6
0ad1f49,kaggle-persuade,3
0ad4908,kaggle-persuade,1
0ad4de2,kaggle-only,6
0ada1e2,kaggle-persuade,4
0adafa7,kaggle-persuade,6
0add2dc,kaggle-only,1
0ae1dee,kaggle-persuade,4
0ae3894,kaggle-persuade,12
0aec0b5,kaggle-persuade,1
0aefcef,kaggle-persuade,3
0af2d2d,kaggle-persuade,12
0af56e8,kaggle-persuade,0
0afe6a6,kaggle-persuade,0
0b059bd,kaggle-persuade,5
0b0644a,kaggle-only,12
0b095ea,kaggle-only,1
0b0f882,kaggle-persuade,1
0b153d1,kaggle-persuade,12
0b15a66,kaggle-only,6
0b1ab1d,kaggle-only,6
0b23a57,kaggle-only,0
0b271eb,kaggle-persuade,0
0b28ade,kaggle-persuade,3
0b2a399,kaggle-persuade,0
0b2bfc4,kaggle-only,0
0b2c063,kaggle-only,3
0b35fa9,kaggle-only,3
0b3ab03,kaggle-persuade,0
0b47a00,kaggle-persuade,4
0b488e9,kaggle-only,6
0b4b11b,kaggle-persuade,9
0b4df74,kaggle-persuade,12
0b4ecc7,kaggle-persuade,12
0b53b04,kaggle-persuade,6
0b551ad,kaggle-persuade,9
0b568f9,kaggle-persuade,9
0b5971b,kaggle-persuade,5
0b5c44b,kaggle-persuade,3
0b62ebe,kaggle-persuade,12
0b64865,kaggle-only,1
0b6df5c,kaggle-only,0
0b700a7,kaggle-persuade,0
0b708bc,kaggle-persuade,1
0b72cc9,kaggle-persuade,1
0b76940,kaggle-persuade,0
0b8588b,kaggle-persuade,4
0b869b2,kaggle-only,0
0b88519,kaggle-persuade,5
0b8e735,kaggle-only,3
0b8ed23,kaggle-persuade,5
0b8fea3,kaggle-only,6
0b9274e,kaggle-persuade,0
0b9d88d,kaggle-only,12
0ba0895,kaggle-persuade,0
0ba0a50,kaggle-only,12
0ba4fc3,kaggle-persuade,0
0ba78ec,kaggle-persuade,3
0bacb0f,kaggle-persuade,0
0bb0bc1,kaggle-persuade,5
0bb2665,kaggle-persuade,0
0bb5c8c,kaggle-only,9
0bb7157,kaggle-persuade,6
0bb7573,kaggle-persuade,3
0bbaaee,kaggle-persuade,1
0bbbed5,kaggle-persuade,3
0bc0443,kaggle-persuade,5
0bc43f3,kaggle-persuade,4
0bc541d,kaggle-persuade,6
0bcac40,kaggle-persuade,1
0be5034,kaggle-persuade,1
0bea5df,kaggle-only,12
0beb053,kaggle-only,6
0bebdc5,kaggle-persuade,12
0bee92d,kaggle-persuade,4
0bf03a7,kaggle-persuade,4
0bf34b6,kaggle-persuade,0
0bf39e6,kaggle-persuade,4
0bfe967,kaggle-persuade,9
0bfeec7,kaggle-persuade,5
0c02064,kaggle-persuade,12
0c0463c,kaggle-persuade,1
0c047cd,kaggle-only,1
0c059b2,kaggle-only,1
0c09020,kaggle-persuade,9
0c0b284,kaggle-persuade,6
0c0eeb7,kaggle-persuade,6
0c10954,kaggle-persuade,9
0c1322b,kaggle-persuade,0
0c13438,kaggle-persuade,3
0c172e6,kaggle-persuade,9
0c1da05,kaggle-persuade,1
0c2a63d,kaggle-only,6
0c2f000,kaggle-persuade,0
0c2f27d,kaggle-only,6
0c34cc0,kaggle-persuade,5
0c385a8,kaggle-persuade,4
0c3a8a0,kaggle-persuade,1
0c4420d,kaggle-only,6
0c442a8,kaggle-persuade,1
0c47509,kaggle-persuade,3
0c488ee,kaggle-persuade,9
0c4ede2,kaggle-only,6
0c560ab,kaggle-persuade,1
0c5c345,kaggle-only,6
0c5e863,kaggle-only,12
0c5ec1c,kaggle-persuade,3
0c61969,kaggle-persuade,4
0c63220,kaggle-only,0
0c66cb3,kaggle-persuade,12
0c6c628,kaggle-only,6
0c6cb29,kaggle-persuade,12
0c6cdfe,kaggle-persuade,3
0c720f3,kaggle-only,6
0c72406,kaggle-only,3
0c76268,kaggle-only,12
0c76a09,kaggle-persuade,1
0c8039c,kaggle-persuade,9
0c82120,kaggle-persuade,3
0c85030,kaggle-persuade,5
0c88bb6,kaggle-persuade,4
0c8a07d,kaggle-persuade,9
0c8abe3,kaggle-persuade,3
0c8f97b,kaggle-persuade,4
0c9029c,kaggle-persuade,9
0c9c20d,kaggle-only,6
0c9e34e,kaggle-persuade,0
0cae471,kaggle-only,1
0cb15fe,kaggle-persuade,0
0cb54b1,kaggle-persuade,4
0cb8a22,kaggle-persuade,9
0cc9cb5,kaggle-persuade,4
0cd1679,kaggle-persuade,1
0cd7e90,kaggle-only,1
0cd80da,kaggle-persuade,4
0cd96ea,kaggle-persuade,4
0cdb059,kaggle-persuade,3
0cdc0d0,kaggle-persuade,12
0cdf1ff,kaggle-only,0
0ce3c1c,kaggle-persuade,0
0cecb68,kaggle-persuade,4
0cf0f8e,kaggle-persuade,0
0cf8c55,kaggle-persuade,9
0cf9088,kaggle-persuade,4
0cffbfb,kaggle-persuade,3
0d077e2,kaggle-persuade,6
0d0a0cb,kaggle-persuade,3
0d0b940,kaggle-persuade,1
0d125d4,kaggle-only,12
0d18ff3,kaggle-persuade,0
0d190c0,kaggle-persuade,1
0d1dfcb,kaggle-only,0
0d2070c,kaggle-only,1
0d20e93,kaggle-only,6
0d23181,kaggle-persuade,5
0d28420,kaggle-persuade,3
0d2ca3c,kaggle-persuade,12
0d34dea,kaggle-only,9
0d3ae64,kaggle-only,3
0d3b8e3,kaggle-persuade,6
0d57890,kaggle-only,6
0d5876f,kaggle-only,1
0d5a937,kaggle-persuade,6
0d5afc5,kaggle-persuade,3
0d64085,kaggle-persuade,9
0d66b05,kaggle-persuade,1
0d67d1f,kaggle-persuade,3
0d70f3a,kaggle-only,1
0d7b70d,kaggle-persuade,0
0d80f66,kaggle-persuade,6
0d8bfc5,kaggle-only,6
0d91c5e,kaggle-persuade,12
0d92fb8,kaggle-only,6
0d96a6c,kaggle-persuade,5
0d96d4e,kaggle-persuade,0
0d9d694,kaggle-only,9
0da206f,kaggle-persuade,4
0da2967,kaggle-persuade,6
0da50b1,kaggle-persuade,12
0da70c3,kaggle-persuade,1
0dabca9,kaggle-persuade,1
0db7e99,kaggle-persuade,0
0dba702,kaggle-only,12
0dbae6d,kaggle-persuade,6
0dbc16f,kaggle-persuade,3
0dbd926,kaggle-only,12
0dc6aae,kaggle-only,1
0dc777f,kaggle-only,1
0dcce8c,kaggle-persuade,12
0dcf2f6,kaggle-persuade,1
0dd2328,kaggle-persuade,12
0dd48cd,kaggle-persuade,9
